adult,child
I see you both need help in this department.,unknown
Daddy does those things to Mommy.,unknown
this doesn't hurt though does it .,unknown
next to the bird okay .,unknown
a cookie says hilda ?,unknown
- How's my mom?,unknown
can you give mommy the tracks ?,unknown
do you remember where your right hand is ?,unknown
a radio ?,unknown
a baby chicken .,unknown
"Oh, in a box.",unknown
"""The eyes express the said, and the unsaid.""",unknown
there's the star !,unknown
- It hurt.,unknown
- She's just a little girl.,unknown
You want another cup of coffee?,unknown
don't push it okay .,unknown
this is not an outside truck either there buddy .,unknown
let daddy start a bath .,unknown
- In my right-hand pocket.,unknown
he's not a fish ?,unknown
she's going to get the hot juice .,unknown
WATCH OUT!,unknown
know at night when you see the big airplanes coming in ?,unknown
yeah that's girl too ?,unknown
What's Today?,unknown
Not going to bus stop tonight as well.,unknown
do you want the ball ?,unknown
you want some help .,unknown
okay and here's a light ?,unknown
Is that the  the big bottle or the small one?,unknown
To defend our home.,unknown
"You seem a little under... well, under the bed.",unknown
Now I need me a kiss.,unknown
don't wanna play ball today ?,unknown
well until mommy comes down and !,unknown
the little cow jumps over the moon laughing as she leaps .,unknown
"Hey, look, car keys.",unknown
Because we trust you and because we need your help,unknown
It's today's Guardian.,unknown
we'll do his pants ?,unknown
"Wait, what's going on?",unknown
ordinary radio for talks between ships of the same flight.,unknown
We some help over here!,unknown
this car ?,unknown
after the cat runs after the ball .,unknown
look lily and mommy can both have magic wands .,unknown
It's like a bear hibernating.,unknown
what comes after apple ?,unknown
what what is the cat doing over there ?,unknown
i'll put your juice here .,unknown
This night never ends.,unknown
oh yes i think then it will be your bath time .,unknown
do you want some apple .,unknown
you mean you put a little truck inside the big truck .,unknown
"I, mind you I  today.",unknown
you have to go to the bath room .,unknown
- That's enough for today.,unknown
this dog has an ear .,unknown
Sun's trying to come out.,unknown
I'm Kitty Pimms.,unknown
you want an apple okay ?,unknown
where's mommy ?,unknown
say good-night.,unknown
Make sure she gets home OK.,unknown
what do you tell the baby ?,unknown
You could hurt somebody!,unknown
what would you like to name the cat ?,unknown
It's on his coat now.,unknown
"Wait, what?",unknown
full in the eyes.,unknown
Let me show you with your coat here.,unknown
"Thus, with a kiss, I die.",unknown
It won't hurt.,unknown
How do you want to pay for that today?,unknown
I'm going to bed.,unknown
Go with me girl.,unknown
is that bread good ?,unknown
this is a lion .,unknown
can you tell mommy ?,unknown
do you have a boat at in longport ?,unknown
There's a clever girl.,unknown
is that for daddy .,unknown
I have a Swiss phone number.,unknown
Bring back milk!,unknown
There's a   there's all that fish,unknown
I hope not in those pants.,unknown
it's an apple ?,unknown
does mommy love blankie .,unknown
push over ?,unknown
the flower .,unknown
Is there a kitchen?,unknown
look at the ball .,unknown
I can't put pants on.,unknown
That's a good girl.,unknown
that no decent dog would bark at.”,unknown
follow the bouncing ball .,unknown
you sing .,unknown
Put him on the bed.,unknown
it's too late to read those today .,unknown
"His hair needs cutting though, look at it.",unknown
where's the spoon ?,unknown
that's what's in that book ?,unknown
Disinfecting and deodorizing cat’s quarters with any preparation,unknown
Oh wait !,unknown
"The other night, what ?",unknown
the ball is stuck .,unknown
You can't fly fish here!,unknown
where's the little bear ?,unknown
and daddy's making breakfast too .,unknown
"Yes, because inside-out is wiggity, wiggity wack.",unknown
there is the bath .,unknown
shall i help you ?,unknown
"Very well, we'll wait until you change it.",unknown
Take your spoon out of this,unknown
yes would you like an apple william ?,unknown
the big bird .,unknown
"- Hi, Hyo-jin.",unknown
table in the air.],unknown
great grandma's name .,unknown
the light of the moon differs from that of the sun.--A strange,unknown
Well yeah that's eye contact,unknown
On his car?,unknown
mommy's just gonna get her coffee .,unknown
- Until your head is right.,unknown
see what's in this box .,unknown
A cat?,unknown
Thank you chair.,unknown
would you like some help getting up ?,unknown
"It's your first kiss, right?",unknown
okay let me get the bread .,unknown
do you think a baby would know how to say yes ?,unknown
that's a car .,unknown
"And then, through the dark, a flush",unknown
when i wear my striped hat ?,unknown
Well I can't help it.,unknown
let's mail them to grandma ?,unknown
in the hand of the sleeper.,unknown
shall we name the cat .,unknown
the tiny baby .,unknown
you gonna push a light .,unknown
"Baby, in this life, I am the tiger.",unknown
i gonna wash you with a cup .,unknown
You want to take a break?,unknown
now what happens w with the baby .,unknown
I ain't gonna bite the hand that feeds me.,unknown
Big Sally.,unknown
you must be in the car .,unknown
poor baby .,unknown
where's the duck's eye ?,unknown
do you want some juice .,unknown
Bye bye mummy and daddy.,unknown
and that's a baby opossum ?,unknown
I need more milk.,unknown
Are you taking your car?,unknown
oh look at this baby playing with the kittie .,unknown
pick up your apple ?,unknown
"I'm pushing, girl.",unknown
"Oh wait, maybe I won't be free.",unknown
Keep your head up.,unknown
Good night.,unknown
TURN ME IN.,unknown
is that a car .,unknown
what's in this box ?,unknown
i need a spoon too to eat my oatmeal .,unknown
How soon can you finish?,unknown
where's the bed room at ?,unknown
Then she turns the TV on,unknown
You like the baby?,unknown
-...the poor box?,unknown
And that's my favourite hair on Liam.,unknown
is that a car !,unknown
yeah that's a very big boat .,unknown
that's a girl .,unknown
Are you looking for more milk?,unknown
- I'm a girl.,unknown
Get it out of my head!,unknown
I'm not staying here all night.,unknown
not on the new table .,unknown
it's on your head .,unknown
Shot in the foot.,unknown
that's the sun ?,unknown
The book.,unknown
book it's a mouse .,unknown
I'm glad you use your head.,unknown
Can I help you find anything?,unknown
you'll hurt him .,unknown
when i wear my striped hat ?,unknown
there's a bear in the house mommy .,unknown
Let's open that other bottle.,unknown
play with the ball .,unknown
you play with your ball .,unknown
"No, she's a heartless, soulless cow.",unknown
- DON'T WORRY.,unknown
Today's her birthday.,unknown
I don't have any milk or cattle.,unknown
where's his eyes ?,unknown
go get a book .,unknown
um you want me to clean your hand ?,unknown
here's a banana laura .,unknown
where does daddy work ?,unknown
"Phone taps, surveillance, everything.",unknown
ah don't push it .,unknown
hair brush ?,unknown
bang the book goes boom .,unknown
you can put them on your hand .,unknown
- Please don't hurt me.,unknown
and what's the car doing ?,unknown
"Candy's the mom, Cookie's the daughter.",unknown
i'm gonna sit over here today .,unknown
And your nose.,unknown
I'll help you.,unknown
don't hurt me i might cry .,unknown
okay i'm gonna lay your baby right here ?,unknown
who takes daddy to the train in the morning ?,unknown
"Wait till you get it and then, uh...",unknown
"- It's okay, baby, Mama's here.",unknown
I'm here to discuss the Box Tunnel 20.,unknown
an apple .,unknown
do you ever dress up like that little girl ?,unknown
LET'S CHECK OUT ADAM.,unknown
It won't help.,unknown
maybe you could mail that to daddy .,unknown
park the car in the garage .,unknown
Anyone want some help?,unknown
Rickhasenlistedthe help of professional diver,unknown
i'll have some more milk .,unknown
no that's another truck .,unknown
i will read my own book .,unknown
what is today the twenty first ?,unknown
what do you have in your hand sweetie ?,unknown
and would the baby hurt his fingers .,unknown
Wait here.,unknown
This is a very special box.,unknown
The big toast.,unknown
Will you eat only the leg piece?,unknown
no this it's bigger than a cup .,unknown
You're actually being courteous today?,unknown
what's the cow say ?,unknown
See that rock directly ahead of you?,unknown
- Can you help me?,unknown
It would be nice to have a break from doing it.,unknown
"- Everything's everything, baby.",unknown
i see some more frozen banana .,unknown
yeah and that's the bed .,unknown
♪ But fish in the bowl is lucky,unknown
- put on some pants.,unknown
In the magical light;,unknown
say pick me up daddy .,unknown
hair brush ?,unknown
do you think you could could you get me that box ?,unknown
we'll talk radio later okay !,unknown
Which car?,unknown
oh and a big bed .,unknown
- I want home.,unknown
♪ Kiss the girl,unknown
There's a phone kiosk over there.,unknown
Sing it!,unknown
"Oh, wait, they're dead.",unknown
I won't hurt you,unknown
"Star Command, come in.",unknown
Where can I phone from?,unknown
cookie monster's in his banana .,unknown
on mommy yeah .,unknown
Call for extra help.,unknown
careful of the box ?,unknown
Look at my eyes and say that?,unknown
oh you're the mommy okay .,unknown
you want your bottle ?,unknown
- Can I help you?,unknown
He won't let the little girl die.,unknown
- Out to the party.,unknown
[Radio beeps],unknown
- WHAT ARE YOU DOING HOME?,unknown
and a bear and a bear .,unknown
I'll kick him out soon.,unknown
cookie and ice cream .,unknown
"Well, he's in bed.",unknown
you put your hand in there .,unknown
where's mommy's car ?,unknown
- Stay away from that dog!,unknown
that doesn't look like a duck .,unknown
here i'll take the apple ?,unknown
don't jump on daddy .,unknown
My head is about to crack up!,unknown
You must to  cat.,unknown
Give me your keys.,unknown
"Night, an invisible dome of cloud,",unknown
What do you mean your bed ?,unknown
mommy's a horrible drawer .,unknown
who is this girl ?,unknown
Shall I turn the light off so you can see?,unknown
hey daddy would you like me to give you some raisins ?,unknown
He needs help.,unknown
[baby crying],unknown
"Hey, I'm going to bed.",unknown
Finish it.,unknown
Long brown hair.,unknown
I'm going to release this ball now.,unknown
Help her before it's too late!,unknown
So this girl...,unknown
You're going in the car.,unknown
you play on the baby's .,unknown
blow you don't put it in your mouth .,unknown
no no not today .,unknown
throw the ball to mama !,unknown
good girl .,unknown
okay come here little dog .,unknown
cereal and strawberries .,unknown
♪ I'm tired and I want to go to bed,unknown
that book!,unknown
or would you like me to start buying bread ?,unknown
"Doll, letter, boom.",unknown
oh little baby's sound asleep .,unknown
that's the sun .,unknown
where is the car going ?,unknown
wait this foot stays up here .,unknown
bear is a good sport ?,unknown
Your fish will die of fear first.,unknown
to fix his eyes on.”,unknown
Wait 'til you see Grandma Kuchenski's dress.,unknown
Go on please?,unknown
"If you are not alert, will bite your ear",unknown
- How's Juliette?,unknown
we drive him on the table ?,unknown
Kick it down!,unknown
okay let us get one let us have a bath .,unknown
you sing ?,unknown
Dog food?,unknown
Off with it please.,unknown
a big black bear .,unknown
there's a baby sister .,unknown
you can build with the block !,unknown
I cannot bear when something is going wrong.,unknown
baby with a bahbah ?,unknown
would you help mommy .,unknown
daddy does ?,unknown
Their car procession will become a funeral procession,unknown
Get in the car!,unknown
do you need help ?,unknown
[Car Starts],unknown
a baby .,unknown
Not while he's home.,unknown
are you eating the table ?,unknown
"""Don't talk about the baby.""",unknown
Get your ball!,unknown
thank you bird .,unknown
and the box too ?,unknown
But I can't see leg...,unknown
You can thank me by keeping your head down...,unknown
hoho you keep bashing these with your head .,unknown
There is bread to make you strong,unknown
the sun is in your eye yeah .,unknown
Holy cow!,unknown
Here's a blanket.,unknown
- Why don't you check the phone book?,unknown
where's mommy christopher ?,unknown
-We're having a baby.,unknown
